Part,Model,Vendor Part no,Description,Quantity Required,Quantity Ordered,Cost $(of ordered quantity),Cost $(of required quantity),Currency,Vendor Supplier,Order Status,date ordered,URL Link
Threaded Rod,,175-7001,Zinc Plated Mild Steel Threaded Rod M6 20mm,11,1 bag of 50,26.40,5.80,AUD,RS Components,Ordered,10/06/25,https://au.rs-online.com/web/p/threaded-rods/1757001
spring washer,,175-7002,Zinc Plated Mild Steel Spring Washer M6,11,1 bag of 100,7.22,0.79,RS Components,Ordered,10/06/25,,https://au.rs-online.com/web/p/washers/2310693
Cable Gland,50.112/EMV/R,2291-50.112/EMV/R-ND,CABLE GLND 5-13MM 1/2 NPT BRASS,6,6,35.88,35.88,USD,DigiKey,Ordered,,https://www.digikey.com.au/en/products/detail/jacob-gmbh/50-112-EMV-R/11674819
Cable Gland,NGM Series,8829947,HellermannTyton NGM Series Grey Nylon Cable Gland M12 Thread 3-6.5mm IP68 10,1,10,15.10,15.10,AUD,RS Components,Ordered,14/07/25,https://au.rs-online.com/web/p/cable-glands/8829947
Heatset Insert,4256,1528-4256-ND,BRASS HEATSET INSRT M3X3M 1=50PC,50,1 bag of 50,5.95,5.95,USD,DigiKey,Ordered,,https://www.digikey.com.au/en/products/detail/adafruit-industries-llc/4256/10244655
PETG Filament,PETG175N1,4370-PETG175N1-ND,ESUN PETG (1.75MM 1000G)NATURE,1,1,21.09,21.09,USD,DigiKey,Ordered,,https://www.digikey.com.au/en/products/detail/esun/PETG175N1/16734901
ABS+ Filament,ABS+175B1,4370-ABS+175B1-ND,ESUN ABS (1.75MM 1000G)BLACK,1,1,21.09,21.09,USD,DigiKey,Ordered,,https://www.digikey.com.au/en/products/detail/esun/ABS-175B1/16583788
Wireless Remote VX3,,,Flipsky 2.4G Wireless Module Waterproof Remote VX3 Pro controller for Efoil/ESurf/ESK8,1,1,110.00,110.00,USD,Flipsky,Ordered,06/07/25,https://flipsky.net/products/flipsky-vx3-waterproof-remote-controller
Flipsky BMS,,,Flipsky BMS 8S-14S LiFePO4/Li-ion 24V/36V/48V Battery Pack Protection 150A for ESK8/Electric Scooter,1,1,45.00,45.00,USD,Flipsky,Ordered,06/07/25,https://flipsky.net/collections/bms/products/bms-8s-14s-lifepo4-li-ion
Flipsky 65150 Motor Combo,FS078,,Flipsky 65150 Motor 160KV 3000W IP68 BLDC Motor / ESC 2-in-1 Combo w/ prop PPM&UART 160KV,1,1,345.60,345.60,USD,Flipsky,Ordered,06/07/25,https://flipsky.net/collections/waterproof-motor/products/65150-motor-160kv-3000w-ip68-bldc-motor-esc-2-in-1-combo
O-Ring,RS PRO,196-4904,RS PRO Nitrile Rubber O-Ring 40mm Bore 44mm Outer Diameter,,1 bag of 50,20.32,0.40,AUD,RS Components,,,https://au.rs-online.com/web/p/gaskets-o-rings/1964904?srsltid=AfmBOoqJpZsEJ0b2EzE9_9fDArrqdamlIOWlzRyZeHVXpemvpunG61w3
Polycarbonate Sheet,Aliexpress,,4mm Clear Polycarbonate Sheet 200x300mm,,1,25.79,25.79,AUD,,Ordered,,https://www.aliexpress.com/item/1005008523118509.html?spm=a2g0o.order_detail.order_detail_item.3.1cf7f19ckBsu28
Push Button Switch,Aliexpress,,Ultra Short Push Button Switch Waterproof 16mm 3-6v Blue LED Black Shell Momentary Self-reset,3,6,38.28,19.14,AUD,AliExpress,Ordered,,https://www.aliexpress.com/item/1005005810452249.html?spm=a2g0o.order_list.order_list_main.5.69e01802ExI1tG
Self-Adhesive Sponge,Aliexpress,,Self-Adhesive Sponge,,,35.66,35.66,CNY,AliExpress,Ordered,,https://www.aliexpress.com/item/1005006761972394.html?spm=a2g0o.order_list.order_list_main.15.69e01802ExI1tG
Electrical Insulating Tape,Aliexpress,,Electrical Insulating Tape Heat Resistant,,,38.39,38.39,CNY,AliExpress,Ordered,,https://www.aliexpress.com/item/1005009717589369.html?spm=a2g0o.order_detail.order_detail_item.3.745ff19cUaxqmW
O-Ring,RS PRO,196-5062,RS PRO Nitrile Rubber O-Ring 58mm Bore 64mm Outer Diameter,,1,16.89,16.89,AUD,RS Components,Ordered,31/08/25,https://au.rs-online.com/web/p/gaskets-o-rings/1965062
